Pop,Sertanejo,Funk,Rock,Bandinha,Pisadinha,Eletrônica,Grime,K-Pop,Trap,Hip-Hop,House,Folk,MPB,Lo-Fi,Indie,Compas,Bossa Nova,Samba,Pagode,Gauchesca,Dubstep,Brega,Reggae,Metal,Reggaeton,Clássica,FPS,Mundo Aberto,Guerra,MOBA,Estratégia,Corrida,Battle Royale,Survival,Simulação,Esporte,Arcade,RPG,Plataforma,Vestir,Cartas,Tabuleiro,Luta,Azar,MMORPG,Puzzle,Hack and slash,Rítmico,Point and click,Furtivo,Realidade Virtual,Nome
1.0,0.25,0.25,1.0,0.49,0.0,1.0,0.0,0.25,0.51,0.76,0.0,0.75,1.0,0.76,0.75,0.0,0.51,0.76,0.76,0.75,0.25,0.25,0.76,0.75,0.51,1.0,1.0,1.0,0.75,0.51,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.0,1.0,1.0,1.0,0.76,1.0,0.75,1.0,1.0,1.0,0.75,0.24,Centro 0
1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,Centro 1
0.84,0.31,0.0,1.0,1.0,0.0,0.53,0.0,0.0,0.15,0.15,0.34,0.46,0.0,0.34,0.46,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.3,1.0,0.15,0.7,1.0,1.0,0.47,0.15,0.85,0.3,0.31,0.66,0.69,0.16,0.69,1.0,0.5,0.0,0.31,0.31,0.35,0.15,0.31,0.69,0.5,0.0,0.19,0.0,0.0,Centro 2
1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,Centro 3
0.5,1.0,0.72,0.72,1.0,0.72,1.0,0.0,0.0,0.22,0.22,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.22,0.0,1.0,0.0,1.0,0.78,0.78,0.0,0.78,0.78,1.0,0.22,0.57,1.0,0.57,0.0,0.0,0.0,0.78,0.5,0.28,0.22,0.43,0.0,0.0,0.0,0.0,0.22,0.0,Centro 4
1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.0,0.0,0.31,0.31,0.0,0.0,0.66,0.0,0.0,0.0,0.66,0.31,1.0,0.66,0.0,0.66,0.31,0.31,1.0,0.66,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.34,0.69,0.0,0.0,0.0,0.0,1.0,1.0,0.34,0.69,0.0,0.66,0.0,0.0,0.0,0.0,0.34,Centro 5
1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Centro 6
1.0,0.0,0.7,0.35,0.0,0.0,0.35,0.0,0.3,0.7,1.0,0.0,0.3,0.0,0.0,0.0,0.65,0.0,0.3,0.0,0.0,0.0,0.0,0.65,0.65,0.7,0.3,0.35,0.0,0.35,0.0,0.65,1.0,0.3,0.0,0.0,0.7,0.3,0.0,0.0,0.0,1.0,1.0,0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Centro 7
